id,full name,individual/group,species,gender,ethnicity,relation to protagonist,relation to protagonist 2 (optional),age,life stage,certainty,notes
adrian13,Adrian Pucey,individual,human,male,not mentioned,adversary,,13.0,,medium,third-year student in 1991-1992 schoolyear (born between 1 September 1977 and 31 August 1978)
algie,Algie Longbottom,individual,human,male,not mentioned,none,,,oldadult,medium,brother of Augusta
alicia13,Alicia Spinnet,individual,human,female,not mentioned,friend,,13.0,,medium,third-year student in 1991-1992 schoolyear (born between 1 September 1977 and 31 August 1978)
angelina14,Angelina Johnson,individual,human,female,not mentioned,friend,,14.0,,high,"between early November 1991 and July 1992 (HP4, c16: born between 24 and 30 October 1977)"
apothecary,,individual,human,male,not mentioned,none,,,adult,high,profession
arthur,Arthur Weasley,individual,human,male,not mentioned,helper,,,middleadult,,parent of earlyadult
arthuradolescent,Arthur Weasley,individual,human,male,not mentioned,helper,,,adolescent,high,as a student at Hogwarts
augusta,Augusta Longbottom,individual,human,female,not mentioned,other,,,oldadult,medium,"grandparent of 11-year-old, described as ""old woman"""
bane,Bane,individual,supernatural,male,,none,,,adult,medium,
baron,,individual,other,male,,other,,,ageless,high,ghost
bill17,Bill Weasley,individual,human,male,not mentioned,other,,17.0,,medium,"in 1988-1989, when he was Head Boy at Hogwarts (aged 17-18)"
bill20,Bill Weasley,individual,human,male,not mentioned,other,,20.0,,high,Ron talks about Bill on 1 September 1991 (born late November 1970)
bill21,Bill Weasley,individual,human,male,not mentioned,other,,21.0,,high,Harry refers to Bill in late December 1991 or early January 1992 (born late November 1970)
billadolescent,Bill Weasley,individual,human,male,not mentioned,other,,,adolescent,high,as a student at Hogwarts
binns,Cuthbert Binns,individual,other,male,,teacher,,,deepoldadult,medium,"described as ""very old"" when he died"
blaise11,Blaise Zabini,individual,human,male,not mentioned,other,,11.0,,medium,"on 1 September 1991, first-year student in 1991-1992 (born between 1 September 1979 and 21 April 1980)"
boatman,,individual,human,male,not mentioned,other,,,oldadult,medium,"described as ""toothless old man"""
boneschildren,,group,human,not mentioned,not mentioned,none,,,child,medium,"murdered during First Wizarding War, children of members of the original Order of the Phoenix"
bonesparents,,group,human,other,not mentioned,none,,,adult,high,"murdered during First Wizarding War, members of the original Order of the Phoenix"
centaurs,,group,supernatural,other,,none,,,adult,medium,
charlie18,Charlie Weasley,individual,human,male,not mentioned,other,,18.0,,high,Ron talks about Charlie on 1 September 1991 (born mid December 1972)
charlie19,Charlie Weasley,individual,human,male,not mentioned,other,,19.0,,high,between Christmas 1991 and July 1992 (born mid December 1972)
charlieadolescent,Charlie Weasley,individual,human,male,not mentioned,other,,,adolescent,high,as a student at Hogwarts
charliefriends,,group,human,other,other,none,,,earlyadult,medium,friends of Charlie19
chessman1,,individual,animated object,other,,none,,,ageless,high,animated object
chessman2,,individual,animated object,other,,none,,,ageless,high,animated object
chessmen,,group,animated object,other,,none,,,ageless,high,animated object
