,0,1,2
0,adrian13,way,fred13
1,adrian13,or,george13
2,adrian13,tell,angelina14
3,adrian13,back,angelina14
4,adrian13,go,angelina14
5,adrian13,dodge,angelina14
6,adrian13,keeper,miles
7,adrian13,dive,teamgryffindor
8,adrian13,way,fred13
9,adrian13,or,george13
10,adrian13,tell,angelina14
11,adrian13,back,angelina14
12,adrian13,go,angelina14
13,adrian13,dodge,angelina14
14,adrian13,keeper,miles
15,adrian13,dive,teamgryffindor
16,adrian13,way,fred13
17,adrian13,or,george13
18,adrian13,tell,angelina14
19,adrian13,back,angelina14
20,adrian13,go,angelina14
21,adrian13,dodge,angelina14
22,adrian13,keeper,miles
23,adrian13,dive,teamgryffindor
24,adrian13,duck,fred13 george13
25,adrian13,Chaser,katie12
26,algie,keep,nevillechild
27,algie,off,nevillechild
28,algie,guard,nevillechild
29,algie,push,nevillechild
30,algie,off,nevillechild
31,algie,drown,neville8
32,algie,hang,neville8
33,algie,out,neville11
34,algie,auntie,enid
35,algie,let,neville8
36,algie,bounce,augusta algie enid
37,algie,be,augusta
38,algie,cry,augusta
39,algie,be,augusta algie enid
40,algie,face,neville11
41,algie,get,augusta algie enid
42,algie,thought,neville11
43,algie,buy,neville11
44,algie, ,neville11
45,algie,push,nevillechild
46,algie,off,nevillechild
47,algie,drown,neville8
48,algie,hang,neville8
49,algie,out,neville11
50,algie,auntie,enid
51,algie,let,neville8
52,algie,bounce,augusta algie enid
53,algie,be,augusta
54,algie,cry,augusta
55,algie,be,augusta algie enid
56,algie,face,neville11
57,algie,get,augusta algie enid
58,algie,thought,neville11
59,algie,buy,neville11
60,algie, ,neville11
61,algie,hang,neville8
62,algie,out,neville11
63,algie,auntie,enid
64,algie,let,neville8
65,algie,bounce,augusta algie enid
66,algie,be,augusta
67,algie,cry,augusta
68,algie,be,augusta algie enid
69,algie,face,neville11
70,algie,get,augusta algie enid
71,algie,thought,neville11
72,algie,buy,neville11
73,algie, ,neville11
74,algie,hang,neville8
75,algie,out,neville11
76,algie,auntie,enid
77,algie,let,neville8
78,algie,bounce,augusta algie enid
79,algie,be,augusta
80,algie,cry,augusta
81,algie,be,augusta algie enid
82,algie,face,neville11
83,algie,get,augusta algie enid
84,algie,thought,neville11
85,algie,buy,neville11
86,algie, ,neville11
87,algie,let,neville8
88,algie,bounce,augusta algie enid
89,algie,be,augusta
90,algie,cry,augusta
91,algie,be,augusta algie enid
92,algie,face,neville11
93,algie,get,augusta algie enid
94,algie,thought,neville11
95,algie,buy,neville11
96,algie, ,neville11
97,algie,let,neville8
98,algie,bounce,augusta algie enid
99,algie,be,augusta
100,algie,cry,augusta
101,algie,be,augusta algie enid
102,algie,face,neville11
103,algie,get,augusta algie enid
104,algie,thought,neville11
105,algie,buy,neville11
106,algie, ,neville11
107,algie,buy,neville11
108,algie, ,neville11
109,algie,buy,neville11
110,algie, ,neville11
111,alicia13,find,oliver15
112,alicia13,reserve,angelina14
113,alicia13,no,teamslytherin
114,alicia13,take,marcus15
115,alicia13,gain,marcus15
116,alicia13,go,marcus15
117,alicia13,fly,marcus15
118,alicia13,stop,oliver15
119,alicia13,and,teamgryffindor
120,alicia13,take,katie12
121,alicia13,of,marcus15
122,alicia13,Quaffle,teamslytherin
123,alicia13,’s,adrian13
124,alicia13,speed,adrian13
125,alicia13,send,adrian13
126,alicia13,way,fred13
127,alicia13,or,george13
128,alicia13,tell,angelina14
129,alicia13,back,angelina14
130,alicia13,go,angelina14
131,alicia13,dodge,angelina14
132,alicia13,keeper,miles
133,alicia13,dive,teamgryffindor
134,alicia13,put,teamgryffindor
135,alicia13,pass,katie12
136,alicia13,hit,marcus15
137,alicia13,joking,mcgonagall
138,alicia13,–,teamslytherin
139,angelina14,belt,alicia13
140,angelina14,find,oliver15
141,angelina14,no,teamslytherin
142,angelina14,take,marcus15
143,angelina14,gain,marcus15
144,angelina14,go,marcus15
145,angelina14,fly,marcus15
146,angelina14,stop,oliver15
147,angelina14,and,teamgryffindor
148,angelina14,take,katie12
149,angelina14,of,marcus15
150,angelina14,Quaffle,teamslytherin
151,angelina14,’s,adrian13
152,angelina14,speed,adrian13
153,angelina14,send,adrian13
154,angelina14,way,fred13
155,angelina14,or,george13
156,angelina14,keeper,miles
157,angelina14,dive,teamgryffindor
158,angelina14,no,teamslytherin
159,angelina14,take,marcus15
160,angelina14,gain,marcus15
161,angelina14,go,marcus15
162,angelina14,fly,marcus15
163,angelina14,stop,oliver15
164,angelina14,and,teamgryffindor
165,angelina14,take,katie12
166,angelina14,of,marcus15
167,angelina14,Quaffle,teamslytherin
168,angelina14,’s,adrian13
169,angelina14,speed,adrian13
170,angelina14,send,adrian13
171,angelina14,way,fred13
172,angelina14,or,george13
173,angelina14,keeper,miles
174,angelina14,dive,teamgryffindor
175,angelina14,keeper,miles
176,angelina14,dive,teamgryffindor
177,angelina14,keeper,miles
178,angelina14,dive,teamgryffindor
179,angelina14,keeper,miles
180,angelina14,dive,teamgryffindor
181,angelina14,keeper,miles
182,angelina14,dive,teamgryffindor
183,angelina14,score,harry11
184,angelina14,do,harry11
185,angelina14,feeling,harry11
186,angelina14,be,harry11
187,angelina14,caught,fred13 george13
188,angelina14,wristwatch,harry11
189,angelina14,way,harry11
190,angelina14,dodge,fred13
191,apothecary,behind,harry11
192,apothecary,",",harry11
193,apothecary, ,harry11
